EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C54DE799184,,E799184,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Jul 19, 2012",1100,,,,,,,,,,
668 - Jet Black,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C56DE799185,,E799185,"MSRP.1,302,403,4MZ,609,6FL",,,"Jul 19, 2012",,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C58DE799186,,E799186,"MSRP.1,ZCP,ZPP.3,2MK,302,403,6FL,6NF,6NR,655,752",,,"Jul 19, 2012",550/1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799187,,E799187,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,655",,,"Jul 19, 2012",,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH3 - Beige Novillo Leather,2013,WBSKG9C51DE799188,,E799188,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,655",,,"Jul 19, 2012",550,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C53DE799189,,E799189,"MSRP.1,ZCP,ZCW,ZPP.3,302,5AC,6FL,6NF,6NR,752",,,"Jul 19, 2012",550/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799190,,E799190,"MSRP.1,ZCP,ZPP.1,2MK,302,494,6FL,6NF,6NR,655,752",,,"Jul 19, 2012",550,,,,,,,,,,
A96 - Mineral White Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C51DE799191,,E799191,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Jul 19, 2012",1100,,,,,,,,,,
A96 - Mineral White Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C53DE799192,,E799192,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655",,,"Jul 19, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C55DE799193,,E799193,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL",,,"Jul 19, 2012",,,,,,,,,,,
